,,МОЩНОСТЬ,КРУТ.МОМ.,СКОРОСТЬ,РАЗГОН,УПРАВЛ,ПРОХОД,МЕТКИ,Цена,НАЛИЧИЕ В САЛОНЕ
Porsche	           911 Turbo,,260,345,250,6,92,32,класс  C            купе               Германия                      80                               3                         widow maker,26 000 /,2
Г,,"1,1","1,1","1,1","1,3",1,"0,8",,,
Porsche 	           924 Carrera GTS Club Sport,,270,335,255,"5,6",94,27,класс  C           хэтчбек              Германия                      80                               4                               коллекция                     автоспорт,31 800 /,1
Г,,"0,9",1,1,"0,9",1,"0,8",,,
Ferrari	          512 BBi Twin Turbo,,662,815,329,"3,8",102,28,класс R             купе               Италия                     80                              4                            widow maker,44 500 /,1
Г,,"0,7","0,6",1,"0,6","1,6","0,6",,,
,ДЕЛЬТА,,,,,,,,,
Citroen	              BX,,72,111,167,"14,9",49,40,класс A             хэтчбек               Франция                       80                             1,6100 /,4
У,,"0,9","0,9",1,"2,4",1,"0,8",,,
Ford 	     Fiesta XR2,,85,124,171,"10,9",67,37,класс A             хэтчбек               США                       80                             1,6300 /,4
Г,,"0,8","0,9","0,8",2,"0,8","0,8",,,
Chevrolet	   Camaro,,112,197,180,"10,1",66,32,класс  B            купе               США                     80                               2,10 000 /,3
Г,,"1,2",1,1,2,1,"0,8",,,
Chevrolet      Malibu Classic Sport Sedan,,140,305,184,12,45,45,класс  B            седан               США                       80                            2                         комфорт,11 400 /,3
У,,1,1,"0,8",2,1,1,,,
BMW	          528i,,184,235,215,"8,4",73,41,класс B             седан               Германия                     80                               2                комфорт,19 200 /,3
У,,1,"0,9","0,8","1,4","0,8",1,,,
Porsche                   911,,218,265,240,"6,3",92,34,класс C             купе               Германия                      80                               2,20 000 /,3
Г,,"1,1","1,2","1,2","1,3",1,"0,8",,,
Renault                 	20 Turbo Paris Dakar,,130,159,210,"8,7",54,150,класс C             хэтчбек               Франция                      80                               5                   автоспорт,28 000 /,1
В,,1,1,"0,6","1,1","0,8",1,,,
Renault	           5 Turbo Group B,,255,289,231,"6,1",83,45,класс  C            хэтчбек               Франция                      80                               5                   автоспорт,29 000 /,1
Г,,"0,8","0,7","0,6","1,3",1,1,,,
Ford 	        C100,,490,570,333,"3,7",93,13,класс E             купе               США                      80                               5                     автоспорт,45 000 /,1
С,,"1,2","1,1",1,"0,6","1,5","0,6",,,
"Porsche 	      935/81 ""Moby Dick""",,680,655,348,"3,2",89,11,класс  R            купе               Германия                      80                               5                     автоспорт,48 000 /,1
С,,"0,9","0,7",1,"0,4","1,4","0,6",,,
,1984,,,,,,,,,
,АЛЬФА,,,,,,,,,
Chevrolet	          Sprint,,48,77,148,18,57,35,класс   A           хэтчбек               США                       80                             1,5000 /,4
У,,"0,7","0,7",1,"2,2","0,8","0,8",,,
Renault	            11 Turbo,,104,162,186,9,54,34,класс  B            седан               Франция                       80                             1,10 400 /,4
У,,"0,9","0,9","0,9","1,8",1,"0,8",,,
Chevrolet	          Monte Carlo Sport Coupe,,170,297,196,"9,3",45,46,класс B             купе                США                       80                            2                  комфорт,10 500 /,3
У,,"0,9","0,9","0,7","1,8","0,8",1,,,
Ford 	   Mustang SVO,,200,325,221,7,58,38,класс  B            купе                США                       80                            2                muscle car,15 000 /,3
Г,,"0,9","1,2","0,9","1,5",1,"0,8",,,
Ford 	Thunderbird Turbo Coupe,,190,326,220,"7,1",52,41,класс B             купе                США                       80                            2,16 000 /,3
У,,1,"1,1","0,7","1,3","0,8","0,8",,,
Chevrolet	Corvette,,282,437,254,"6,1",80,29,класс C             купе                США                       80                            3,25 000 /,2
Г,,1,"1,1","1,3","1,2",1,"0,8",,,
Renault	            5 Turbo Tour de Corse,,240,270,227,6,85,45,класс  C            хэтчбек               Франция                       80                             4                    автоспорт,29 000 /,1
У,,"0,8","0,9",1,"1,4",1,1,,,
"Porsche 	               911 Carrera 3.2 4×4 ""Paris-Dakar""",,311,338,257,5,91,95,класс D             купе               Германия                     80                              5                       автоспорт,45 000 /,1
В,,"0,9","1,2",1,"0,9","1,2",1,,,
,БЕТА,,,,,,,,,
Renault               	5,,64,107,161,"14,2",51,43,класс  A            хэтчбек               Франция                       80                             1,5500 /,4
У,,"0,7","0,8","0,8","2,3",1,"0,8",,,
Renault	            30 TX,,131,167,175,12,50,40,класс A             хэтчбек               Франция                       80                             2                    комфорт,9500 /,3
У,,1,"0,9","0,9",2,"0,8",1,,,
BMW	           524td,,115,210,180,"12,9",71,41,класс B             седан               Германия                       80                             1,10 800 /,4
У,,"0,7","1,2","0,7","2,2","0,8",1,,,
Ford 	       Ranger,,140,231,155,"17,3",32,174,класс B             внедорожник               США                     80                               2,14 200 /,3
В,,"0,9","1,2","0,5","1,7","0,8",1,,,
Renault	      Alpine GTA V6 GT,,160,221,235,8,94,30,класс B             купе               Франция                     80                               2,16 500 /,3
Г,,"0,9",1,"1,2","1,5",1,"0,8",,,
Porsche                   911,,231,284,243,"5,4",93,34,класс C             купе               Германия                      80                               2,22 000 /,3
Г,,"1,1","1,2","1,2","1,1",1,"0,8",,,
Ford 	        RS200,,250,292,240,"6,1",89,78,класс C             купе                  США                       80                             4                    коллекция,29 200 /,1
Г,,"0,9","1,1","0,9","1,4",1,1,,,
Lamborghini	 LM 004,,420,587,200,7,31,170,класс D             внедорожник           Италия                     80                              5                        коллекция,44 400 /,1
В,,1,1,"0,6","0,9","0,8",1,,,
,ГАММА,,,,,,,,,
Renault	             9,,68,111,160,15,55,44,класс A             седан               Франция                       80                             1,6000 /,4
У,,"0,8","0,8","0,8","2,2","0,8",1,,,
Citroen	           BX Sport,,126,169,195,"10,9",55,36,класс  A            хэтчбек               Франция                       80                             2                                hot hatch,9400 /,3
У,,"0,9","0,9",1,2,1,"0,8",,,
Ford 	       Sierra XR4,,162,215,210,"7,8",73,36,класс B             хэтчбек               США                       80                             2                                hot hatch,11 100 /,3
У,,"0,9",1,"0,7","1,5",1,"0,8",,,
